Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
No able to open on iphone 6 iOS,Pls fix the problem with the inability to open this apps on iOS 6,1,Yes,UI Accessibility Issues (UI)
NotWorking,Tried this app so many times and it's not working,1,Yes,UI Accessibility Issues (UI)
Scam?,Just wasted my precious MBs to download the App. It just stares at me back. Minus eight stars from me to you.,1,Yes,UI Accessibility Issues (UI)
Why?,"Iâ€™m really regretting opening an account with Access. I always have problems when trying to make transactions. For some days now Iâ€™ve tried sending money to wallet via the *901# code and the app, and Iâ€™ve never got my money. The hotline number is also not going through.",1,Yes,Navigation and Interaction Problems (NAV)
You should have a more professional customer care service,"You people need to work on your customer care, and also be able to keep record of each transactions. I just called your customer care after receiving several debit alerts which the transactions were failed to reversed, she was telling me all sorts of crap, itâ€™s really annoying me and itâ€™s breaking my heart, Iâ€™m probably going to close down my account, thereâ€™s too many issues with access bank as it is right now. This bank just ruined my day, and itâ€™s really pissing me off, a much better bank would be better.",1,No,Non-Accessibility Issues (NO)
Waste of time,"The app is useless.. Nothing works.
 Can rest password or retrieve username.
 
 Roll back the previous version.. The latest update isn't helping",1,Yes,UI Accessibility Issues (UI)
Login issues,Iâ€™ve issues with logging in on my account. I lost my account few months ago and retrieved my username and password using internet banking from the access app. But I couldnâ€™t login to my account on the mobile app anymore unless the internet banking while my username and password are retrieved.,1,Yes,Input and Control Issues (INPUT)
Canâ€™t login my app anymore,The app was working just fine until I tried login in my account to conduct transactions and I was told that the version is no longer available and I should update my version but Iâ€™m coming on play store and thereâ€™s no new update on the app so why canâ€™t I login?,2,Yes,UI Accessibility Issues (UI)
LIST OF BANKS OR SAVED BENEFICIARIES NO LONGER SHOWS,For the past couple of days I haven't been able to access all my beneficiaries list only a few and when I want search using the name of the beneficiary it won't work. It's annoying that this is happening and I have tried to uninstall and reinstall the app and still nothing. You guys should fix this!!,2,Yes,UI Accessibility Issues (UI)
Poor Banking,"I have been with access bank for some couple of years. My problem is whenever I try to check my account balance using the app, it tells me no account(s) found. And it takes about a week for a transfer to credited to the account.",2,Yes,UI Accessibility Issues (UI)
New update troubles,I just updated the bank app and i canâ€™t access my account with my Face ID anymore. Iâ€™ve forgotten my original password and thereâ€™s no option to press when you forget your password.,2,Yes,Input and Control Issues (INPUT)
Cant log in into new device,"â€œâ€â€WARNING!
 Your profile was not registered with his device, please login with the correct device or unlock this device! â€œâ€
 
 That is what I get when I tried changing phones. How do I get this issue rectified please!",2,Yes,UI Accessibility Issues (UI)
Arrangements of statemrnt,"In this new bank apps, the arrangement of my bank alerts is always scattered. I can open my bank app and an old transaction will popout at the top. Please kindly rectify this
 
 In the new bank app, solve session ID expired issues",2,Yes,UI Accessibility Issues (UI)
Failed App,"I downloaded the app for the first time and couldnâ€™t make funds transfer. It kept saying â€œtransaction not permitted, temporary pin limit exceededâ€ and I havenâ€™t even made any transaction on it.",2,Yes,Input and Control Issues (INPUT)
Improve asap,"The app and the bank services, I donâ€™t know which is worse. I believe they can do better",2,No,Non-Accessibility Issues (NO)
Unable to sign in,If you update an app why canâ€™t you transfer ways every one can use the app. No mobile access for use of pin.,2,Yes,Navigation and Interaction Problems (NAV)
Canâ€™t log in,"Canâ€™t log in to my account after update , I do a lot with the app and I canâ€™t log in at all ,â€˜please look into it",2,Yes,UI Accessibility Issues (UI)
App not logging in,The app is not logging in my new device please rectify,2,Yes,UI Accessibility Issues (UI)
Useless app,"I find it difficult logging in ,
 ........",2,Yes,UI Accessibility Issues (UI)
So annoying,It not arranging my transaction accordingly,2,Yes,Navigation and Interaction Problems (NAV)
Access bank plc,With this current update give me problems when I want to make transactions,2,Yes,UI Accessibility Issues (UI)
Should have better login feature,"I like Access Bank a lot but I think the use of a token is redundant. I would prefer if we could sign in using OTP sent via SMS. That way I can link my phone while abroad as I have been unable to do so. I mean, that N4 I get debited that reflects my monthly statement needs to be put into good use and not for some bank promo.",3,No,Non-Accessibility Issues (NO)
Update information online,"I should be able to update my information with the pin I set up and not this OTP nonsense every time , I donâ€™t have that number and the email on my profile is wrong . Been trying to contact the bank no response, I donâ€™t live in Nigeria",3,Yes,Input and Control Issues (INPUT)
Improve,"I like AccessBank and all the recent upgrades especially with online banking. However, the whole default token for transactions is a downer for me. Iâ€™d love to access and make transactions effortlessly from abroad but that hasnâ€™t been smooth.
 
 Please upgrade.",3,No,Non-Accessibility Issues (NO)
IOS14 veesion has bugs,"since i got a new phone and ios 14 the new version is unstable, says my pin is incorrect. debits me in an untimely manner and biometrics issues please fix them",3,Yes,UI Accessibility Issues (UI)
Useless banking service,Itâ€™s very bad and full of cheats. Donâ€™t try it,3,No,Non-Accessibility Issues (NO)
Does the Job,"The app is well thought out. Does most things you need it to. 
 
 If you have locations services turned off. It prompt you to turn it on EVERY SINGLE TIME you launch the app. This is annoying. Very annoying. 
 
 You have to click the password box for the finger print authentication to come up. It should be the first prompt you get when you launch the app (to either enter your password or put your finger print, if you want to do something else, it should give you the option of canceling) 9/10 times you launch the app it's to use internet banking.
 
 After you put login, you have to click another screen to go into your internet banking. This screen is unnecessary. It should be removed. 
 
 There should be an option to authenticate transactions with your fingerprint, not just your token and your pin. 
 
 Transaction limit should increase with your account activity. 1m is quite limiting. 
 
 App needs to be optimized to run faster. 
 
 But beyond that it's a well thought out app. Just minor tweaks to get it to 5 star.",3,Yes,Navigation and Interaction Problems (NAV)
Bad internet connectivity,"This app is good but I noticed it has this issue of Internet connectivity. When you try to log on or setup, you get the error message ""connection failed due to bad internet service"" which is not true because my internet service for instance is perfect and super fast. I am logged to a WIFI network.",3,Yes,UI Accessibility Issues (UI)
Does not save beneficiaries,"3star because app does not save beneficiaries too bad, One has to type account numbers over time to perform recurring transactions. I expect fixes in update",3,Yes,Input and Control Issues (INPUT)
